species,validos_registros,percentual_registros,validos_celulas,percentual_celulas,diferenca_pp
Araucaria angustifolia,2534,81.3733228097869,1461,77.7549623545517,-3.61836045523522
Cariniana legalis,220,45.4545454545455,176,43.75,-1.70454545454545
Cattleya labiata,17,23.5294117647059,16,25,1.47058823529412
Dicksonia sellowiana,678,71.8289085545723,444,69.8198198198198,-2.00908873475245
Euterpe edulis,4037,68.4419123111221,650,66.9230769230769,-1.5188353880452
Paubrasilia echinata,921,38.870792616721,550,41.0909090909091,2.22011647418814
