species,total,validos,sem_clima,mantidos,alterados,percentual
Araucaria angustifolia,1559,1559,0,280,1279,82.0397690827454
Cariniana legalis,5,5,0,5,0,0
Cattleya labiata,0,0,0,0,0,
Dicksonia sellowiana,0,0,0,0,0,
Euterpe edulis,4,4,0,0,4,100
Paubrasilia echinata,6,6,0,6,0,0
