bioma,anos,inicio,fim,inclinacao,p_valor,rho,p_ajustado_BH
Amazônia,26,2000,2025,49.499829059829,0.0338446765528524,0.982222222222222,0.0507670148292786
Caatinga,26,2000,2025,-30.3052991452997,0.0215680335048535,0.78338178611167,0.0431360670097069
Cerrado,26,2000,2025,-30.9483760683768,0.0116835406370236,0.939145299145299,0.0350506219110709
Mata Atlântica,26,2000,2025,26.4933333333328,0.294553592996344,0.88991452991453,0.294553592996344
Pampa,26,2000,2025,31.6738461538464,2.59111081169087e-07,0.933675213675214,1.55466648701452e-06
Pantanal,26,2000,2025,-11.6998290598295,0.055030980930034,0.941880341880342,0.0660371771160408
